Name,Stars,Short Comments,DatedText,Reviews,Helpfull
TaniaTOP 1000 REVIEWER,5.0 out of 5 stars,Five Stars,22 September 2016,very nice face wash makes skin clean and supple each time you wash with it.,Helpful
Anand,4.0 out of 5 stars,Good for all skin type,10 September 2017,Economical pack. Can use twice daily at least for 2 months. Good for all skin type.,Helpful
ARAVINTH,5.0 out of 5 stars,Five Stars,26 March 2018,good,Helpful
kiran,5.0 out of 5 stars,Five Stars,3 September 2017,best,One person found this helpful
Ruby,1.0 out of 5 stars,Damaged,16 August 2018,I received a damaged product in a horrible condition leaking ? its not fair over it it doesn't show replace opn,Helpful
aman yele,4.0 out of 5 stars,Cap is bit loose. but I got in offer ...,18 August 2017,Cap is bit loose .but I got in offer for 135? is ok to use.,Helpful
Asvinie,5.0 out of 5 stars,Good,21 September 2018,Good,Helpful
Vipin Bhati,4.0 out of 5 stars,Nice fragrance seems good in quality as well.,17 October 2018,As per expectation it is very good.,Helpful
Bhola Ansari,5.0 out of 5 stars,Nice,24 March 2018,Superb,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,16 March 2018,Excellent,Helpful
Yashwant,2.0 out of 5 stars,I am shocked to receive my product wherein I found ...,11 August 2016,I am shocked to receive my product wherein I found that the bottle was not totally full infact quite a substantial portion of the bottle was empty and it was also not sealed.,One person found this helpful
Ayush Srivastava,4.0 out of 5 stars,Nice Product,5 July 2018,Nice Product.. Suits to my face..Delivery was after 5 days of the order..But one of the bottle was leaking ..,Helpful
kannameena,5.0 out of 5 stars,Five Stars,24 May 2018,working too good,Helpful
Praful Sandpa,5.0 out of 5 stars,Five Stars,14 February 2018,Good Product form Cloudtail India seller!,Helpful
Sachin Singhania,3.0 out of 5 stars,It okk,6 November 2017,Awesome.it does not break me out love it it clean my face nicely but it dry my skin much so i give 3 star...,Helpful
Amazon Customer,5.0 out of 5 stars,Himalaya is my all time favourite face wash,25 July 2016,Himalaya is my all time favourite face wash.it is very good product for pimple faced skin or oily skin.This product has lot of amount of face wash in it..delivery is nice..nd Amazon is always best.,Helpful
Sachin Tyagi,4.0 out of 5 stars,???,21 September 2018,Nice deal @ 109 only.,Helpful
Anjani Kumar Singh,4.0 out of 5 stars,Four Stars,24 June 2018,GOOD DEAL.,Helpful
Amazon Customer,5.0 out of 5 stars,Always in love with himalayan products and it is my favourite,20 February 2017,Always in love with himalayan products and it is my favouriteusing it from last 11years and recommended to so many packaging was good,Helpful
k vinod kumar,5.0 out of 5 stars,?,17 October 2018,Best,Helpful
Sasanka Sekhara Acharya,5.0 out of 5 stars,Five Stars,18 May 2018,Good,Helpful
abhishek,5.0 out of 5 stars,Five Stars,14 April 2018,good,Helpful
Amazon Customer,4.0 out of 5 stars,nice product,13 August 2018,Product is very goodAnd first time I'm satisfy on Amazon packingNice product.,Helpful
Amazon Customer,5.0 out of 5 stars,Good makeup remover. I use it after removing make up from a remover,9 June 2018,Removes all makeup,Helpful
Amazon Customer,4.0 out of 5 stars,Best offer,17 June 2018,Best,Helpful
tanmaya panda,5.0 out of 5 stars,Good,26 August 2018,Very good product with best price,Helpful
Amazon Customer,5.0 out of 5 stars,Loved it,3 July 2018,This is the 7th bottle I am using. Once I ordered it and never ordered any other facewash.,Helpful
Rajasree,5.0 out of 5 stars,Five Stars,19 July 2017,Bought it for my son going well,Helpful
Arthi,4.0 out of 5 stars,Gud one,9 February 2016,Nice one. I brought this one fr 2time. It's Gud actually keep fresh fr ever. Shud buy one. Keep washing fr morning n night. It Wil give b glowing.,Helpful
Shashidhar H M,4.0 out of 5 stars,Super productive,30 September 2018,Good product,One person found this helpful
Manish Raj,4.0 out of 5 stars,Four Stars,17 January 2016,It's a good product for regular use.Most importantly its Himalaya so surely you can go for it.,Helpful
Deepu,4.0 out of 5 stars,Good product,10 June 2018,Nice facewash. I like it,Helpful
Amazon Customer,1.0 out of 5 stars,Duplicate,10 July 2018,Smells different from the tube ones and Colour also. Don't buy this duplicate product. Why is it different from the tube facewash.,2 people found this helpful
Roopesh,5.0 out of 5 stars,Good daily facewash.,21 November 2016,Prevents a decent amount of pimples but not if your skin is highly prone to them.,Helpful
krishna,2.0 out of 5 stars,Two Stars,20 March 2018,It is only for dry skin,Helpful
RUPESH ROY,5.0 out of 5 stars,Nice,10 June 2018,Great,Helpful
Narayan M.,5.0 out of 5 stars,Five Stars,19 December 2017,Very nice,Helpful
seema choudhary,4.0 out of 5 stars,Good product,4 September 2018,I like it,Helpful
sunil kumar,5.0 out of 5 stars,Five Stars,11 August 2016,Excellent product...,One person found this helpful
M. K. Agarwal,4.0 out of 5 stars,Four Stars,1 May 2018,It's ok,Helpful
Amazon Customer,5.0 out of 5 stars,Best Facewash,9 July 2018,Best for Acne Free SkinCost is lower then Himalaya Centreeven lower then other online shopping sites.Go for it without any hesitation.,Helpful
Arijit Hazra,5.0 out of 5 stars,Five Stars,3 October 2017,Best face wash...love Himalaya,Helpful
Sunita Gupta,5.0 out of 5 stars,Nice one,19 July 2018,With the nozzle inbuilt it makes it easier to use the facewash.,Helpful
Sushil,4.0 out of 5 stars,Four Stars,28 August 2018,Good quality,Helpful
Sukrit Misra,4.0 out of 5 stars,Four Stars,8 October 2017,Himalaya products always good no doubt,Helpful
ANKIT,2.0 out of 5 stars,Two Stars,25 August 2017,Poor product no good for pimples and oily skin. Waste of money,Helpful
Amazon Customer,5.0 out of 5 stars,No used and tempered product as I read in comments,18 July 2018,Proper product delivered.,One person found this helpful
K.vamsi k.,5.0 out of 5 stars,It prevents pimples very effectievly.,12 July 2018,I am this for since twomonths very nice product.By using this the pimples will decreses slowly.It prevents pimples.,Helpful
Rosy.r,5.0 out of 5 stars,Awsome product.. dont think just buy it. ...,5 December 2017,Awsome product..dont think just buy it..,Helpful
Ayush Goel,5.0 out of 5 stars,Original product.,20 June 2018,Original product.,Helpful
noni,5.0 out of 5 stars,both men and women,6 August 2018,best face wash for both men and women best for pimples,Helpful
Danston gomes,5.0 out of 5 stars,verry happy with the product,24 August 2017,very good product and packaging for a good price,Helpful
Saahil U,5.0 out of 5 stars,It is a best facewash according to me,5 January 2017,I've been using this facewash since 4yrs. It is a best facewash according to me.,Helpful
MANMOHAN SONI,1.0 out of 5 stars,Duplicate product!! Do not buy from this seller.,11 August 2018,Product is duplicate.,2 people found this helpful
alok das,5.0 out of 5 stars,Five Stars,20 July 2017,Currnt product with large discount,Helpful
RUBY KHATUN,5.0 out of 5 stars,cheep price but good product,8 July 2018,It is a good product ... But in amazon i got in a lowest price ... That is too good,Helpful
Naveen Khurana,4.0 out of 5 stars,Four Stars,25 February 2017,Satisfied,One person found this helpful
SOMU2056,4.0 out of 5 stars,Four Stars,21 November 2017,Good,Helpful
Ripu Daman Singh,5.0 out of 5 stars,Four Stars,15 July 2017,One of the best Face wash. Pleasant smell. Very Less soapy.,Helpful
S.Mohamed Imran Ali,5.0 out of 5 stars,Cost effective,2 September 2018,Cheaper.,Helpful
Sandip N. Mahajan,3.0 out of 5 stars,good deal free delivary,21 July 2016,good deal free delivary,One person found this helpful
Shagufta khan,3.0 out of 5 stars,Good but bottel is defective,25 October 2018,The botels pumpack is not working,Helpful
Yogesh,5.0 out of 5 stars,Good ?,25 November 2016,Good product foams up good helpful for oily skin.,Helpful
Subhasini Kummithi,5.0 out of 5 stars,Very good use with himalaya neem face pack to get better ...,7 February 2018,Very good use with himalaya neem face pack to get better results got control over pimples i am since last months and I am reviewing it very good product,Helpful
Selva,3.0 out of 5 stars,Awesome Delivery by Amazon,30 December 2015,Worth for its Money....Awesome Delivery by Amazon!,One person found this helpful
Deepti,1.0 out of 5 stars,One Star,10 December 2017,Pump is broken,2 people found this helpful
SHUBHASHISH PARIDA,5.0 out of 5 stars,Awesome Product..,12 September 2018,Awesome quality product and price is also affordable.. I have bought it in RS 109.. Thanks Amazon..,Helpful
AKHIL,5.0 out of 5 stars,Five Stars,14 December 2017,Nice,Helpful
Surbhi Gupta,5.0 out of 5 stars,Five Stars,2 September 2017,Himalayan Himalayan Himalayan....??,Helpful
Ramesh,5.0 out of 5 stars,Five Stars,30 September 2017,It's good for face cleaning,Helpful
Saba Shahin,3.0 out of 5 stars,Work on your packaging.,3 March 2018,The product was alright but there was a crack in the bottle which led to huge amount of product wastage.,Helpful
Madhumita Das Ghosh,5.0 out of 5 stars,very good,5 April 2018,best price from market,Helpful
A Manna,4.0 out of 5 stars,It is good product,26 July 2018,As well as good forever,Helpful
asha,1.0 out of 5 stars,One Star,12 January 2018,bakwas,Helpful
Dibyendu Goswami,5.0 out of 5 stars,Five Stars,18 June 2018,Very nice,Helpful
SPECIAL,5.0 out of 5 stars,Five Stars,25 July 2017,good product.....,Helpful
Ramanagesh,5.0 out of 5 stars,Five Stars,24 May 2017,Good product n timely delivery by amazon??,Helpful
Vishnu Mohan,5.0 out of 5 stars,Five Stars,23 June 2016,Good Product & Great Packing,One person found this helpful
tushar ranka,5.0 out of 5 stars,Daily face rejuvenating solution,13 March 2016,This face wash from Himalayas is very good for daily use a pocket friendly and face rejuvenating solution this one's go easy on face and is well suited for normal to oily skin.,Helpful
Pranshu,4.0 out of 5 stars,Refreshing,19 May 2018,Good for morning face wash. Refreshing.,Helpful
Dr. s ghosh,4.0 out of 5 stars,Amazing deal.,11 September 2018,As far the product looks good Nd amazing deal.thnx amazon,Helpful
Rakhi,2.0 out of 5 stars,Two Stars,2 December 2015,Not very impressed its not suitable to use this product on your skin during winters.,Helpful
Surendran K.,5.0 out of 5 stars,good,25 June 2017,its a good product,Helpful
ADITYA RAJ,4.0 out of 5 stars,superior herbal product,6 July 2018,This face wash is all skin type supported.,Helpful
Soumya Samanta 007,4.0 out of 5 stars,Four Stars,17 May 2018,Good product.. No problem with quality..price is also lower than open market significantly,Helpful
jalaj kulshrestha,5.0 out of 5 stars,Five Stars,24 February 2018,nice product,Helpful
Rajnish Kumar teghra begusarai,5.0 out of 5 stars,Five Stars,27 September 2017,Good product,Helpful
SOURAV SARKAR,4.0 out of 5 stars,Four Stars,18 August 2018,GOOD !BUT ITS PRICE TO MUCH HIGH...!,Helpful
SRINIVAS P.,4.0 out of 5 stars,Good offer,18 August 2017,Good offer,Helpful
GOPAL LAL,1.0 out of 5 stars,thumbs down,21 September 2018,This product smells like a chemical and not as a face wash it is not as effective also seems to be duplicate,One person found this helpful
Aishwaray Gurve,4.0 out of 5 stars,Must buy,29 April 2017,I got this in an offer..I'm waiting for such offer to come again..,Helpful
kuheli chakraborty Sengupta,5.0 out of 5 stars,very good,9 August 2018,good,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,10 October 2017,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,15 September 2018,as described,Helpful
Kapil Goyal,4.0 out of 5 stars,very nice.,6 December 2015,It is very nice. I am using it from last 2 year. Its very nice to use. Don't think and buy it..,Helpful
